"act","section_number","section_title","text","keywords","document_types_applicable","document_types_applicable__-"
"The Insolvency And Bankruptcy Code, 2016","75","Punishment for false information furnished in application","","CIRP","application_form",""
"","","","","application","criminal_complaint",""
"","","","","application_form","court_order",""
"","","","","corporate insolvency resolution process","legal_notice",""
"","","","","false information","petition",""
"","","","","insolvency","regulatory_filing",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for false information furnished in application","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","76","Punishment for non-disclosure of dispute or repayment of debt by operational creditor","","CIRP","claim_form",""
"","","","","corporate insolvency resolution process","criminal_complaint",""
"","","","","creditor","court_order",""
"","","","","debt","debt_recovery_notice",""
"","","","","debt_recovery_notice","dispute_notice",""
"","","","","dispute","legal_notice",""
"","","","","dispute_notice","loan_agreement",""
"","","","","insolvency","regulatory_filing",""
"","","","","loan_agreement","",""
"","","","","non-disclosure","",""
"","","","","offence","",""
"","","","","operational creditor","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for non-disclosure of dispute or repayment of debt by operational creditor","",""
"","","","","repayment","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","77","Punishment for providing false information in application made by corporate debtor","","CIRP","application_form",""
"","","","","application","criminal_complaint",""
"","","","","application_form","court_order",""
"","","","","corporate debtor","legal_notice",""
"","","","","corporate insolvency resolution process","order",""
"","","","","debtor","petition",""
"","","","","false information","regulatory_filing",""
"","","","","insolvency","",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for providing false information in application made by corporate debtor","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","78","Application","","CIRP","application_form",""
"","","","","application","petition",""
"","","","","application_form","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","79","Definitions","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","definitions","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","80","Eligibility for making an application","","CIRP","application_form",""
"","","","","admission","order",""
"","","","","application","petition",""
"","","","","application_form","",""
"","","","","corporate insolvency resolution process","",""
"","","","","eligibility","",""
"","","","","eligibility for making an application","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","81","Application for fresh start order","","CIRP","application_form",""
"","","","","admission","order",""
"","","","","application","petition",""
"","","","","application for fresh start order","",""
"","","","","application_form","",""
"","","","","corporate insolvency resolution process","",""
"","","","","eligibility","",""
"","","","","fresh start order","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","82","Appointment of resolution professional","","CIRP","appointment_letter",""
"","","","","appointment","report",""
"","","","","appointment_letter","",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"The Insolvency And Bankruptcy Code, 2016","83","Examination of application by resolution professional","","CIRP","application_form",""
"","","","","admission","order",""
"","","","","application","petition",""
"","","","","application_form","report",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","eligibility","",""
"","","","","examination of application by resolution professional","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","report","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","84","Admission or rejection of application by Adjudicating Authority","","adjudicating authority","application_form",""
"","","","","admission","court_order",""
"","","","","admission or rejection of application by adjudicating authority","order",""
"","","","","application","petition",""
"","","","","application_form","",""
"","","","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","NCLT","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","85","Effect of admission of application","","admission","application_form",""
"","","","","application","order",""
"","","","","application_form","petition",""
"","","","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","effect of admission of application","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","86","Objections by creditor and their examination by resolution professional","","CIRP","","report"
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","duties","",""
"","","","","insolvency","",""
"","","","","objections","",""
"","","","","objections by creditor and their examination by resolution professional","",""
"","","","","report","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"The Insolvency And Bankruptcy Code, 2016","87","Application against decision of resolution professional","","CIRP","application_form",""
"","","","","admission","order",""
"","","","","application","petition",""
"","","","","application against decision of resolution professional","",""
"","","","","application_form","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","88","General duties of debtor","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","debtor","",""
"","","","","duties","",""
"","","","","general duties of debtor","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","89","Replacement of resolution professional","","CIRP","appointment_letter",""
"","","","","appointment_letter","report",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","insolvency","",""
"","","","","replacement","",""
"","","","","replacement of resolution professional","",""
"","","","","report","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"The Insolvency And Bankruptcy Code, 2016","90","Directions for compliances of restrictions, etc.","","CIRP","",""
"","","","","compliances","",""
"","","","","corporate insolvency resolution process","",""
"","","","","directions","",""
"","","","","directions for compliances of restrictions, etc.","",""
"","","","","insolvency","",""
"","","","","restrictions","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","91","Revocation of order admitting application","","CIRP","application_form",""
"","","","","admission","court_order",""
"","","","","application","order",""
"","","","","application_form","petition",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","revocation of order admitting application","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","92","Discharge order","","CIRP","","court_order"
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","debt discharge","",""
"","","","","discharge order","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","93","Standard of conduct","","CIRP","code_of_conduct",""
"","","","","code of conduct","company_policy",""
"","","","","company_policy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","standard of conduct","",""
"The Insolvency And Bankruptcy Code, 2016","94","Application by debtor to initiate insolvency resolution process","","CIRP","application_form",""
"","","","","admission","order",""
"","","","","application","petition",""
"","","","","application by debtor to initiate insolvency resolution process","",""
"","","","","application_form","",""
"","","","","corporate insolvency resolution process","",""
"","","","","debtor","",""
"","","","","eligibility","",""
"","","","","insolvency","",""
"","","","","insolvency resolution process","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","95","Application by creditor to initiate insolvency resolution process","","CIRP","application_form",""
"","","","","admission","order",""
"","","","","application","petition",""
"","","","","application by creditor to initiate insolvency resolution process","",""
"","","","","application_form","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","eligibility","",""
"","","","","insolvency","",""
"","","","","insolvency resolution process","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","96","Interim moratorium","","CIRP","","court_order"
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","interim moratorium","",""
"","","","","moratorium","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","97","Appointment of resolution professional","","CIRP","appointment_letter",""
"","","","","appointment","report",""
"","","","","appointment_letter","",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","insolvency","",""
"","","","","report","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"The Insolvency And Bankruptcy Code, 2016","98","Replacement of resolution professional","","CIRP","appointment_letter",""
"","","","","appointment_letter","report",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","insolvency","",""
"","","","","replacement","",""
"","","","","replacement of resolution professional","",""
"","","","","report","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"The Insolvency And Bankruptcy Code, 2016","99","Submission of report by resolution professional","","CIRP","","report"
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","insolvency","",""
"","","","","report","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"","","","","submission","",""
"","","","","submission of report by resolution professional","",""
"The Insolvency And Bankruptcy Code, 2016","100","Admission or rejection of application","","CIRP","application_form",""
"","","","","admission","order",""
"","","","","admission or rejection of application","petition",""
"","","","","application","",""
"","","","","application_form","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","101","Moratorium","","CIRP","","court_order"
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","moratorium","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","102","Public notice and claims from creditors","","CIRP","claim_form",""
"","","","","claim_form","public_notice",""
"","","","","claims","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","public notice","",""
"","","","","public notice and claims from creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","103","Registering of claims by creditors","","CIRP","","claim_form"
"","","","","claim_form","",""
"","","","","claims","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","registering of claims by creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","104","Preparation of list of creditors","","CIRP","","claim_form"
"","","","","claims","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","list of creditors","",""
"","","","","preparation of list of creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","105","Repayment plan","","CIRP","","repayment_plan"
"","","","","corporate insolvency resolution process","",""
"","","","","debt","",""
"","","","","insolvency","",""
"","","","","repayment","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","106","Report of resolution professional on repayment plan","","CIRP","repayment_plan",""
"","","","","corporate insolvency resolution process","report",""
"","","","","insolvency","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","report","",""
"","","","","report of resolution professional on repayment plan","",""
"","","","","resolution plan","",""
"","","","","resolution professional","",""
"The Insolvency And Bankruptcy Code, 2016","107","Summoning of meeting of creditors","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","meeting of creditors","",""
"","","","","resolution plan","",""
"","","","","summoning of meeting of creditors","",""
"The Insolvency And Bankruptcy Code, 2016","108","Conduct of meeting of creditors","","CIRP","",""
"","","","","conduct of meeting of creditors","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","meeting of creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","109","Voting rights in meeting of creditors","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","meeting of creditors","",""
"","","","","resolution plan","",""
"","","","","voting rights","",""
"","","","","voting rights in meeting of creditors","",""
"The Insolvency And Bankruptcy Code, 2016","110","Rights of secured creditors in relation to repayment plan","","CIRP","","repayment_plan"
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","resolution plan","",""
"","","","","rights of secured creditors in relation to repayment plan","",""
"","","","","secured creditors","",""
"The Insolvency And Bankruptcy Code, 2016","111","Approval of repayment plan by creditors","","CIRP","","repayment_plan"
"","","","","approval of repayment plan by creditors","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","112","Report of meeting of creditors on repayment plan","","CIRP","repayment_plan",""
"","","","","corporate insolvency resolution process","report",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","meeting of creditors","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","report","",""
"","","","","report of meeting of creditors on repayment plan","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","113","Notice of decisions taken at meeting of creditors","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","meeting of creditors","",""
"","","","","notice","",""
"","","","","notice of decisions taken at meeting of creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","114","Order of Adjudicating Authority on repayment plan","","Adjudicating Authority","court_order",""
"","","","","CIRP","order",""
"","","","","corporate insolvency resolution process","repayment_plan",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","NCLT","",""
"","","","","order","",""
"","","","","order of adjudicating authority on repayment plan","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","115","Effect of order of Adjudicating Authority on repayment plan","","Adjudicating Authority","court_order",""
"","","","","CIRP","order",""
"","","","","corporate insolvency resolution process","repayment_plan",""
"","","","","court_order","",""
"","","","","effect of order of adjudicating authority on repayment plan","",""
"","","","","insolvency","",""
"","","","","NCLT","",""
"","","","","order","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","116","Implementation and supervision of repayment plan","","CIRP","","repayment_plan"
"","","","","corporate insolvency resolution process","",""
"","","","","implementation","",""
"","","","","implementation and supervision of repayment plan","",""
"","","","","insolvency","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","resolution plan","",""
"","","","","supervision","",""
"The Insolvency And Bankruptcy Code, 2016","117","Completion of repayment plan","","CIRP","","repayment_plan"
"","","","","completion","",""
"","","","","completion of repayment plan","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","repayment plan","",""
"","","","","repayment_plan","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","118","Repayment plan coming to end prematurely","","CIRP","","repayment_plan"
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","premature end","",""
"","","","","repayment plan","",""
"","","","","repayment plan coming to end prematurely","",""
"","","","","repayment_plan","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","119","Discharge order","","CIRP","","court_order"
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","debt discharge","",""
"","","","","discharge order","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","120","Standard of conduct","","CIRP","code_of_conduct",""
"","","","","code of conduct","company_policy",""
"","","","","company_policy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","standard of conduct","",""
"The Insolvency And Bankruptcy Code, 2016","121","Application for bankruptcy","","CIRP","application_form",""
"","","","","admission","bankruptcy_application",""
"","","","","application","order",""
"","","","","application for bankruptcy","petition",""
"","","","","application_form","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy_application","",""
"","","","","corporate insolvency resolution process","",""
"","","","","eligibility","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","122","Application by debtor","","CIRP","application_form",""
"","","","","admission","bankruptcy_application",""
"","","","","application","order",""
"","","","","application by debtor","petition",""
"","","","","application_form","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy_application","",""
"","","","","corporate insolvency resolution process","",""
"","","","","debtor","",""
"","","","","eligibility","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","123","Application by creditor","","CIRP","application_form",""
"","","","","admission","bankruptcy_application",""
"","","","","application","order",""
"","","","","application by creditor","petition",""
"","","","","application_form","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy_application","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","eligibility","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","124","Effect of application","","CIRP","application_form",""
"","","","","admission","order",""
"","","","","application","petition",""
"","","","","application_form","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","effect of application","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","125","Appointment of insolvency professional as bankruptcy trustee","","CIRP","appointment_letter",""
"","","","","appointment","report",""
"","","","","appointment_letter","",""
"","","","","bankruptcy","",""
"","","","","bankruptcy trustee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","duties","",""
"","","","","insolvency","",""
"","","","","insolvency professional","",""
"","","","","report","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","126","Bankruptcy order","","CIRP","court_order",""
"","","","","bankruptcy","order",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","127","Validity of bankruptcy order","","CIRP","court_order",""
"","","","","bankruptcy","order",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","resolution plan","",""
"","","","","validity of bankruptcy order","",""
"The Insolvency And Bankruptcy Code, 2016","128","Effect of bankruptcy order","","CIRP","court_order",""
"","","","","bankruptcy","order",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","effect of bankruptcy order","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","129","Statement of financial position","","CIRP","","financial_statement"
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","financial position","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","statement of financial position","",""
"The Insolvency And Bankruptcy Code, 2016","130","Public notice inviting claims from creditors","","CIRP","claim_form",""
"","","","","bankruptcy","public_notice",""
"","","","","claim_form","",""
"","","","","claims","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","public notice","",""
"","","","","public notice inviting claims from creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","131","Registration of claims","","CIRP","","claim_form"
"","","","","bankruptcy","",""
"","","","","claim_form","",""
"","","","","claims","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","registration of claims","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","132","Preparation of list of creditors","","CIRP","","claim_form"
"","","","","bankruptcy","",""
"","","","","claims","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","list of creditors","",""
"","","","","preparation of list of creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","133","Summoning of meeting of creditors","","CIRP","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","meeting of creditors","",""
"","","","","resolution plan","",""
"","","","","summoning of meeting of creditors","",""
"The Insolvency And Bankruptcy Code, 2016","134","Conduct of meeting of creditors","","CIRP","",""
"","","","","bankruptcy","",""
"","","","","conduct of meeting of creditors","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","meeting of creditors","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","135","Voting rights of creditors","","CIRP","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","creditor","",""
"","","","","insolvency","",""
"","","","","meeting of creditors","",""
"","","","","resolution plan","",""
"","","","","voting rights","",""
"","","","","voting rights of creditors","",""
"The Insolvency And Bankruptcy Code, 2016","136","Administration and distribution of estate of bankruptcy","","CIRP","","estate_documents"
"","","","","administration and distribution of estate of bankruptcy","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","estate administration","",""
"","","","","estate_documents","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","137","Completion of administration","","CIRP","","estate_documents"
"","","","","administration","",""
"","","","","bankruptcy","",""
"","","","","completion of administration","",""
"","","","","corporate insolvency resolution process","",""
"","","","","estate administration","",""
"","","","","estate_documents","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","138","Discharge order","","CIRP","","court_order"
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","debt discharge","",""
"","","","","discharge order","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","139","Effect of discharge","","CIRP","","court_order"
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","debt discharge","",""
"","","","","discharge order","",""
"","","","","effect of discharge","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","140","Disqualification of bankrupt","","CIRP","",""
"","","","","bankrupt","",""
"","","","","bankruptcy","",""
"","","","","corporate insolvency resolution process","",""
